,Unnamed: 0,ano,cliente,uf,ocupacao,ativo_problematico,coluna_estado
1521,79,2014,PF,MS,PF - Empregado de empresa privada,92729342.03,MATO GROSSO DO SUL
1528,86,2014,PF,MT,PF - Empregado de empresa privada,158135964.36,MATO GROSSO
1535,93,2014,PF,PA,PF - Empregado de empresa privada,134180932.69,PARÁ
1542,100,2014,PF,PB,PF - Empregado de empresa privada,54489399.69,PARAÍBA
1550,108,2014,PF,PE,PF - Empregado de empresa privada,205162308.45,PERNAMBUCO
1557,115,2014,PF,PI,PF - Empregado de empresa privada,22848545.59,PIAUÍ
1564,122,2014,PF,PR,PF - Empregado de empresa privada,614036854.59,PARANÁ
1571,129,2014,PF,RJ,PF - Empregado de empresa privada,1256421435.22,RIO DE JANEIRO
1579,137,2014,PF,RN,PF - Empregado de empresa privada,63845901.34,RIO GRANDE DO NORTE
1586,144,2014,PF,RO,PF - Empregado de empresa privada,29876243.15,RONDÔNIA
1593,151,2014,PF,RR,PF - Empregado de empresa privada,5373263.79,RORAIMA
1600,158,2014,PF,RS,PF - Empregado de empresa privada,693603482.22,RIO GRANDE DO SUL
1608,166,2014,PF,SC,PF - Empregado de empresa privada,344427336.6,SANTA CATARINA
1615,173,2014,PF,SE,PF - Empregado de empresa privada,50207125.81,SERGIPE
1622,180,2014,PF,SP,PF - Empregado de empresa privada,5075436490.67,SÃO PAULO
1630,188,2014,PF,TO,PF - Empregado de empresa privada,26938163.35,TOCANTINS
2170,2,2015,PF,AC,PF - Empregado de empresa privada,8661622.44,ACRE
2177,9,2015,PF,AL,PF - Empregado de empresa privada,55705026.45,ALAGOAS
2184,16,2015,PF,AM,PF - Empregado de empresa privada,148840161.67,AMAZONAS
2191,23,2015,PF,AP,PF - Empregado de empresa privada,10957466.86,AMAPÁ
2198,30,2015,PF,BA,PF - Empregado de empresa privada,439640059.83,BAHIA
2205,37,2015,PF,CE,PF - Empregado de empresa privada,143873578.94,CEARÁ
2212,44,2015,PF,DF,PF - Empregado de empresa privada,249517528.06,DISTRITO FEDERAL
2219,51,2015,PF,ES,PF - Empregado de empresa privada,185099997.64000002,ESPÍRITO SANTO
2226,58,2015,PF,GO,PF - Empregado de empresa privada,313162839.91,GOIÁS
2233,65,2015,PF,MA,PF - Empregado de empresa privada,91160040.6,MARANHÃO
2240,72,2015,PF,MG,PF - Empregado de empresa privada,929383280.52,MINAS GERAIS
2247,79,2015,PF,MS,PF - Empregado de empresa privada,113737333.01,MATO GROSSO DO SUL
2254,86,2015,PF,MT,PF - Empregado de empresa privada,197040177.29,MATO GROSSO
2261,93,2015,PF,PA,PF - Empregado de empresa privada,147883495.38,PARÁ
2268,100,2015,PF,PB,PF - Empregado de empresa privada,53516017.35,PARAÍBA
